1606: T4_RUNE                                                          : Adept's Rune
2003: T5_OFF_JESTERCANE_HELL                                           : Expert's Leering Cane
2004: T5_OFF_JESTERCANE_HELL@1                                         : Expert's Leering Cane
2005: T5_OFF_JESTERCANE_HELL@2                                         : Expert's Leering Cane
2006: T5_OFF_JESTERCANE_HELL@3                                         : Expert's Leering Cane
2007: T5_OFF_JESTERCANE_HELL@4                                         : Expert's Leering Cane
2008: T6_OFF_JESTERCANE_HELL                                           : Master's Leering Cane
2009: T6_OFF_JESTERCANE_HELL@1                                         : Master's Leering Cane
2010: T6_OFF_JESTERCANE_HELL@2                                         : Master's Leering Cane
2011: T6_OFF_JESTERCANE_HELL@3                                         : Master's Leering Cane
2012: T6_OFF_JESTERCANE_HELL@4                                         : Master's Leering Cane
2013: T7_OFF_JESTERCANE_HELL                                           : Grandmaster's Leering Cane
2014: T7_OFF_JESTERCANE_HELL@1                                         : Grandmaster's Leering Cane
2015: T7_OFF_JESTERCANE_HELL@2                                         : Grandmaster's Leering Cane
2016: T7_OFF_JESTERCANE_HELL@3                                         : Grandmaster's Leering Cane
2017: T7_OFF_JESTERCANE_HELL@4                                         : Grandmaster's Leering Cane
2018: T8_OFF_JESTERCANE_HELL                                           : Elder's Leering Cane
2019: T8_OFF_JESTERCANE_HELL@1                                         : Elder's Leering Cane
2020: T8_OFF_JESTERCANE_HELL@2                                         : Elder's Leering Cane
2021: T8_OFF_JESTERCANE_HELL@3                                         : Elder's Leering Cane
2022: T8_OFF_JESTERCANE_HELL@4                                         : Elder's Leering Cane
2023: T2_CAPE                                                          : Novice's Cape
2024: T3_CAPE                                                          : Journeyman's Cape
2025: T4_CAPE                                                          : Adept's Cape
2026: T4_CAPE@1                                                        : Adept's Cape
2027: T4_CAPE@2                                                        : Adept's Cape
2028: T4_CAPE@3                                                        : Adept's Cape
2029: T4_CAPE@4                                                        : Adept's Cape
2030: T5_CAPE                                                          : Expert's Cape
2031: T5_CAPE@1                                                        : Expert's Cape
2032: T5_CAPE@2                                                        : Expert's Cape
2033: T5_CAPE@3                                                        : Expert's Cape
2034: T5_CAPE@4                                                        : Expert's Cape
2035: T6_CAPE                                                          : Master's Cape
2036: T6_CAPE@1                                                        : Master's Cape
2037: T6_CAPE@2                                                        : Master's Cape
2038: T6_CAPE@3                                                        : Master's Cape
2039: T6_CAPE@4                                                        : Master's Cape
2040: T7_CAPE                                                          : Grandmaster's Cape
2041: T7_CAPE@1                                                        : Grandmaster's Cape
2042: T7_CAPE@2                                                        : Grandmaster's Cape
2043: T7_CAPE@3                                                        : Grandmaster's Cape
2044: T7_CAPE@4                                                        : Grandmaster's Cape
2045: T8_CAPE                                                          : Elder's Cape
2046: T8_CAPE@1                                                        : Elder's Cape
2047: T8_CAPE@2                                                        : Elder's Cape
2048: T8_CAPE@3                                                        : Elder's Cape
2049: T8_CAPE@4                                                        : Elder's Cape
2050: T4_CAPEITEM_FW_BRIDGEWATCH                                       : Adept's Bridgewatch Cape
2051: T4_CAPEITEM_FW_BRIDGEWATCH@1                                     : Adept's Bridgewatch Cape
2052: T4_CAPEITEM_FW_BRIDGEWATCH@2                                     : Adept's Bridgewatch Cape
2053: T4_CAPEITEM_FW_BRIDGEWATCH@3                                     : Adept's Bridgewatch Cape
2054: T4_CAPEITEM_FW_BRIDGEWATCH@4                                     : Adept's Bridgewatch Cape
2055: T5_CAPEITEM_FW_BRIDGEWATCH                                       : Expert's Bridgewatch Cape
2056: T5_CAPEITEM_FW_BRIDGEWATCH@1                                     : Expert's Bridgewatch Cape
2057: T5_CAPEITEM_FW_BRIDGEWATCH@2                                     : Expert's Bridgewatch Cape
2058: T5_CAPEITEM_FW_BRIDGEWATCH@3                                     : Expert's Bridgewatch Cape
2059: T5_CAPEITEM_FW_BRIDGEWATCH@4                                     : Expert's Bridgewatch Cape
2060: T6_CAPEITEM_FW_BRIDGEWATCH                                       : Master's Bridgewatch Cape
2061: T6_CAPEITEM_FW_BRIDGEWATCH@1                                     : Master's Bridgewatch Cape
2062: T6_CAPEITEM_FW_BRIDGEWATCH@2                                     : Master's Bridgewatch Cape
2063: T6_CAPEITEM_FW_BRIDGEWATCH@3                                     : Master's Bridgewatch Cape
2064: T6_CAPEITEM_FW_BRIDGEWATCH@4                                     : Master's Bridgewatch Cape
2065: T7_CAPEITEM_FW_BRIDGEWATCH                                       : Grandmaster's Bridgewatch Cape
2066: T7_CAPEITEM_FW_BRIDGEWATCH@1                                     : Grandmaster's Bridgewatch Cape
2067: T7_CAPEITEM_FW_BRIDGEWATCH@2                                     : Grandmaster's Bridgewatch Cape
2068: T7_CAPEITEM_FW_BRIDGEWATCH@3                                     : Grandmaster's Bridgewatch Cape
2069: T7_CAPEITEM_FW_BRIDGEWATCH@4                                     : Grandmaster's Bridgewatch Cape
2070: T8_CAPEITEM_FW_BRIDGEWATCH                                       : Elder's Bridgewatch Cape
2071: T8_CAPEITEM_FW_BRIDGEWATCH@1                                     : Elder's Bridgewatch Cape
2072: T8_CAPEITEM_FW_BRIDGEWATCH@2                                     : Elder's Bridgewatch Cape
2073: T8_CAPEITEM_FW_BRIDGEWATCH@3                                     : Elder's Bridgewatch Cape
2074: T8_CAPEITEM_FW_BRIDGEWATCH@4                                     : Elder's Bridgewatch Cape
2075: T4_CAPEITEM_FW_FORTSTERLING                                      : Adept's Fort Sterling Cape
2076: T4_CAPEITEM_FW_FORTSTERLING@1                                    : Adept's Fort Sterling Cape
2077: T4_CAPEITEM_FW_FORTSTERLING@2                                    : Adept's Fort Sterling Cape
2078: T4_CAPEITEM_FW_FORTSTERLING@3                                    : Adept's Fort Sterling Cape
2079: T4_CAPEITEM_FW_FORTSTERLING@4                                    : Adept's Fort Sterling Cape
2080: T5_CAPEITEM_FW_FORTSTERLING                                      : Expert's Fort Sterling Cape
2081: T5_CAPEITEM_FW_FORTSTERLING@1                                    : Expert's Fort Sterling Cape
2082: T5_CAPEITEM_FW_FORTSTERLING@2                                    : Expert's Fort Sterling Cape
2083: T5_CAPEITEM_FW_FORTSTERLING@3                                    : Expert's Fort Sterling Cape
2084: T5_CAPEITEM_FW_FORTSTERLING@4                                    : Expert's Fort Sterling Cape
2085: T6_CAPEITEM_FW_FORTSTERLING                                      : Master's Fort Sterling Cape
2086: T6_CAPEITEM_FW_FORTSTERLING@1                                    : Master's Fort Sterling Cape
2087: T6_CAPEITEM_FW_FORTSTERLING@2                                    : Master's Fort Sterling Cape
2088: T6_CAPEITEM_FW_FORTSTERLING@3                                    : Master's Fort Sterling Cape
2089: T6_CAPEITEM_FW_FORTSTERLING@4                                    : Master's Fort Sterling Cape
2090: T7_CAPEITEM_FW_FORTSTERLING                                      : Grandmaster's Fort Sterling Cape
2091: T7_CAPEITEM_FW_FORTSTERLING@1                                    : Grandmaster's Fort Sterling Cape
2092: T7_CAPEITEM_FW_FORTSTERLING@2                                    : Grandmaster's Fort Sterling Cape
2093: T7_CAPEITEM_FW_FORTSTERLING@3                                    : Grandmaster's Fort Sterling Cape
2094: T7_CAPEITEM_FW_FORTSTERLING@4                                    : Grandmaster's Fort Sterling Cape
